ACTUALSHIPDATE,CATEGORY,WHSEID,BRAND,Total QTY,Total CBM,Week,Day
2024-01-02,DRY,BKD1,AFC,168388.0,141.17603736289843,2.Tuesday,2
2024-01-02,TET,BKD1,SOLITE,3290.0,22.996999960000004,2.Tuesday,2
2024-01-02,TET,BKD1,OREO,1570.0,9.241,2.Tuesday,2
2024-01-02,TET,BKD1,LU,17002.0,77.599998086,2.Tuesday,2
2024-01-02,TET,BKD1,KOKO,280.0,1.2341000000000002,2.Tuesday,2
2024-01-02,TET,BKD1,COSY,19868.0,108.757186496375,2.Tuesday,2
2024-01-02,MOONCAKE,BKD1,THU,440.0,2.42,2.Tuesday,2
2024-01-02,FRESH,BKD1,KINH DO CAKE,45292.0,34.105599999999995,2.Tuesday,2
2024-01-02,TET,BKD1,HAMPER,2808.0,6.7829679,2.Tuesday,2
2024-01-02,DRY,BKD1,SOLITE,95476.0,44.36927930837049,2.Tuesday,2
2024-01-02,DRY,BKD1,SLIDE,32130.0,50.60663865617823,2.Tuesday,2
2024-01-02,DRY,BKD1,RITZ,3436.0,3.379999448,2.Tuesday,2
2024-01-02,DRY,BKD1,OREO,64336.0,41.44383944770223,2.Tuesday,2
2024-01-02,DRY,BKD1,LU,420.0,0.42,2.Tuesday,2
2024-01-02,DRY,BKD1,KINH DO BISCUIT,19700.0,43.1714361328125,2.Tuesday,2
2024-01-02,DRY,BKD1,COSY,57148.0,70.48940107285598,2.Tuesday,2
2024-01-02,FRESH,BKD1,KINH DO BREAD,208200.0,67.12298980496858,2.Tuesday,2
2024-01-02,MOONCAKE,BKD1,TRANG VANG,0.0,0.0,2.Tuesday,2
2024-01-02,TET,BKD1,AFC,0.0,0.0,2.Tuesday,2
2024-01-03,DRY,BKD1,AFC,149192.0,75.93079462479614,3.Wednesday,3
2024-01-03,TET,BKD1,SOLITE,9636.0,42.966997188,3.Wednesday,3
2024-01-03,TET,BKD1,OREO,1768.0,6.412,3.Wednesday,3
2024-01-03,TET,BKD1,LU,12644.0,59.83199844999999,3.Wednesday,3
2024-01-03,TET,BKD1,KOKO,560.0,2.58174625,3.Wednesday,3
2024-01-03,TET,BKD1,COSY,11418.0,63.890998030000006,3.Wednesday,3
2024-01-03,MOONCAKE,BKD1,THU,288.0,1.5839999999999999,3.Wednesday,3
