ACTUALSHIPDATE,CATEGORY,WHSEID,BRAND,Total QTY,Total CBM,Week,Day
2023-01-02,DRY,BKD1,AFC,54472.0,93.78281878869127,1.Monday,2
2023-01-02,TET,BKD1,SOLITE,6298.0,16.24703585602606,1.Monday,2
2023-01-02,TET,BKD1,OREO,240.0,2.02223714597538,1.Monday,2
2023-01-02,TET,BKD1,LU,38106.0,132.927999942,1.Monday,2
2023-01-02,TET,BKD1,KOKO,980.0,1.61061705,1.Monday,2
2023-01-02,TET,BKD1,COSY,8884.0,45.40413003647009,1.Monday,2
2023-01-02,TET,BKD1,AFC,130.0,1.1960000000000002,1.Monday,2
2023-01-02,MOONCAKE,BKD1,THU,1208.0,6.644,1.Monday,2
2023-01-02,TET,BKD1,HAMPER,1230.0,8.803167155724186,1.Monday,2
2023-01-02,DRY,BKD1,SLIDE,38220.0,56.74761583427177,1.Monday,2
2023-01-02,DRY,BKD1,RITZ,3122.0,1.2138935836188285,1.Monday,2
2023-01-02,DRY,BKD1,OREO,112644.0,100.98883620885483,1.Monday,2
2023-01-02,DRY,BKD1,LU,120.0,0.0001420623779296,1.Monday,2
2023-01-02,DRY,BKD1,KINH DO BISCUIT,27600.0,69.46000920000002,1.Monday,2
2023-01-02,DRY,BKD1,COSY,152392.0,219.44177338598573,1.Monday,2
2023-01-02,DRY,BKD1,SOLITE,412418.0,165.94252707794806,1.Monday,2
2023-01-02,FRESH,BKD1,KINH DO CAKE,0.0,0.0,1.Monday,2
2023-01-02,FRESH,BKD1,KINH DO BREAD,0.0,0.0,1.Monday,2
2023-01-02,MOONCAKE,BKD1,TRANG VANG,0.0,0.0,1.Monday,2
2023-01-03,DRY,BKD1,AFC,39272.0,70.58599940799999,2.Tuesday,3
2023-01-03,TET,BKD1,SOLITE,1868.0,2.81074865500218,2.Tuesday,3
2023-01-03,TET,BKD1,OREO,1456.0,4.566066703564522,2.Tuesday,3
2023-01-03,TET,BKD1,LU,27804.0,99.234997188,2.Tuesday,3
2023-01-03,TET,BKD1,KOKO,684.0,1.3171597753189197,2.Tuesday,3
2023-01-03,TET,BKD1,COSY,7898.0,37.25318766597975,2.Tuesday,3
2023-01-03,TET,BKD1,AFC,290.0,0.4605876720470461,2.Tuesday,3
2023-01-03,MOONCAKE,BKD1,THU,504.0,2.772,2.Tuesday,3
2023-01-03,TET,BKD1,HAMPER,444.0,5.80496408992008,2.Tuesday,3
2023-01-03,DRY,BKD1,SLIDE,21364.0,22.411857314499542,2.Tuesday,3
2023-01-03,DRY,BKD1,RITZ,4266.0,0.8693057780000001,2.Tuesday,3
2023-01-03,DRY,BKD1,OREO,44808.0,61.74826108086162,2.Tuesday,3
2023-01-03,DRY,BKD1,LU,560.0,0.0006629577636718,2.Tuesday,3
2023-01-03,DRY,BKD1,KINH DO BISCUIT,12600.0,31.710004200000004,2.Tuesday,3
2023-01-03,DRY,BKD1,COSY,122758.0,198.97783019449136,2.Tuesday,3
2023-01-03,DRY,BKD1,SOLITE,242430.0,130.98742199578825,2.Tuesday,3
2023-01-03,FRESH,BKD1,KINH DO CAKE,0.0,0.0,2.Tuesday,3
2023-01-03,FRESH,BKD1,KINH DO BREAD,0.0,0.0,2.Tuesday,3
2023-01-03,MOONCAKE,BKD1,TRANG VANG,0.0,0.0,2.Tuesday,3
2023-01-04,DRY,BKD1,AFC,40228.0,69.315999836,3.Wednesday,4
2023-01-04,TET,BKD1,SOLITE,4522.0,10.652728190878635,3.Wednesday,4
2023-01-04,TET,BKD1,OREO,1288.0,23.874194344425504,3.Wednesday,4
2023-01-04,TET,BKD1,LU,38196.0,192.62574450899984,3.Wednesday,4
2023-01-04,TET,BKD1,KOKO,1006.0,1.820000004,3.Wednesday,4
2023-01-04,TET,BKD1,COSY,4718.0,27.29686641527312,3.Wednesday,4
2023-01-04,TET,BKD1,AFC,960.0,8.832,3.Wednesday,4
2023-01-04,MOONCAKE,BKD1,THU,368.0,2.024,3.Wednesday,4
2023-01-04,TET,BKD1,HAMPER,2130.0,29.87867853584016,3.Wednesday,4
2023-01-04,DRY,BKD1,SLIDE,72674.0,81.7989131364305,3.Wednesday,4
2023-01-04,DRY,BKD1,RITZ,4786.0,5.021024488,3.Wednesday,4
2023-01-04,DRY,BKD1,OREO,62068.0,66.35746357547191,3.Wednesday,4
2023-01-04,DRY,BKD1,LU,500.0,0.000591926574707,3.Wednesday,4
2023-01-04,DRY,BKD1,KINH DO BISCUIT,33120.0,83.35201104000001,3.Wednesday,4
2023-01-04,DRY,BKD1,COSY,104342.0,154.9940855012594,3.Wednesday,4
2023-01-04,DRY,BKD1,SOLITE,266166.0,130.40593374274275,3.Wednesday,4
2023-01-04,FRESH,BKD1,KINH DO CAKE,0.0,0.0,3.Wednesday,4
2023-01-04,FRESH,BKD1,KINH DO BREAD,0.0,0.0,3.Wednesday,4
2023-01-04,MOONCAKE,BKD1,TRANG VANG,0.0,0.0,3.Wednesday,4
2023-01-05,DRY,BKD1,AFC,48552.0,83.702754704,4.Thursday,5
2023-01-05,TET,BKD1,SOLITE,6416.0,10.447904488806817,4.Thursday,5
2023-01-05,TET,BKD1,OREO,1942.0,5.693693231488372,4.Thursday,5
2023-01-05,TET,BKD1,LU,22512.0,107.63941590499992,4.Thursday,5
2023-01-05,TET,BKD1,KOKO,500.0,0.3513222499999998,4.Thursday,5
2023-01-05,TET,BKD1,COSY,5176.0,25.674239308917063,4.Thursday,5
2023-01-05,TET,BKD1,AFC,274.0,1.564254657887053,4.Thursday,5
2023-01-05,MOONCAKE,BKD1,THU,0.0,0.0,4.Thursday,5
2023-01-05,TET,BKD1,HAMPER,3231.0,22.724921577605727,4.Thursday,5
2023-01-05,DRY,BKD1,SLIDE,131936.0,132.78953366371675,4.Thursday,5
2023-01-05,DRY,BKD1,RITZ,9106.0,6.832925711770917,4.Thursday,5
2023-01-05,DRY,BKD1,OREO,184252.0,143.95663075390178,4.Thursday,5
2023-01-05,DRY,BKD1,LU,780.0,0.0009234054565428,4.Thursday,5
2023-01-05,DRY,BKD1,KINH DO BISCUIT,19980.0,51.53700654000001,4.Thursday,5
2023-01-05,DRY,BKD1,COSY,83672.0,103.7709575600624,4.Thursday,5
2023-01-05,DRY,BKD1,SOLITE,575728.0,144.0959934031496,4.Thursday,5
2023-01-05,FRESH,BKD1,KINH DO CAKE,0.0,0.0,4.Thursday,5
2023-01-05,FRESH,BKD1,KINH DO BREAD,0.0,0.0,4.Thursday,5
2023-01-05,MOONCAKE,BKD1,TRANG VANG,0.0,0.0,4.Thursday,5
2023-01-06,DRY,BKD1,AFC,34210.0,62.293662857717024,5.Friday,6
2023-01-06,TET,BKD1,SOLITE,13072.0,61.06754641437391,5.Friday,6
2023-01-06,TET,BKD1,OREO,2024.0,18.75184880979077,5.Friday,6
2023-01-06,TET,BKD1,LU,9490.0,39.93205533066666,5.Friday,6
2023-01-06,TET,BKD1,KOKO,1450.0,0.0061567137793383,5.Friday,6
2023-01-06,TET,BKD1,COSY,14162.0,70.04845909494605,5.Friday,6
2023-01-06,TET,BKD1,AFC,4482.0,29.1566111,5.Friday,6
2023-01-06,MOONCAKE,BKD1,THU,0.0,0.0,5.Friday,6
2023-01-06,TET,BKD1,HAMPER,1341.0,9.07356961104429,5.Friday,6
2023-01-06,DRY,BKD1,SLIDE,36694.0,42.38612820964426,5.Friday,6
2023-01-06,DRY,BKD1,RITZ,6876.0,3.2185213348854584,5.Friday,6
2023-01-06,DRY,BKD1,OREO,178828.0,119.02602495542926,5.Friday,6
2023-01-06,DRY,BKD1,LU,2640.0,0.0031253723144529,5.Friday,6
2023-01-06,DRY,BKD1,KINH DO BISCUIT,26160.0,75.50700750000001,5.Friday,6
2023-01-06,DRY,BKD1,COSY,69664.0,108.77981681477672,5.Friday,6
2023-01-06,DRY,BKD1,SOLITE,986344.0,199.6301069574715,5.Friday,6
2023-01-06,FRESH,BKD1,KINH DO CAKE,0.0,0.0,5.Friday,6
2023-01-06,FRESH,BKD1,KINH DO BREAD,0.0,0.0,5.Friday,6
2023-01-06,MOONCAKE,BKD1,TRANG VANG,0.0,0.0,5.Friday,6
2023-01-07,DRY,BKD1,AFC,36134.0,82.05516196454336,6.Saturday,7
2023-01-07,TET,BKD1,SOLITE,8208.0,27.08564377743638,6.Saturday,7
2023-01-07,TET,BKD1,OREO,80.0,4.902912,6.Saturday,7
2023-01-07,TET,BKD1,LU,5532.0,20.07200016,6.Saturday,7
2023-01-07,TET,BKD1,KOKO,60.0,0.0001299537201484,6.Saturday,7
2023-01-07,TET,BKD1,COSY,3144.0,16.079770641293873,6.Saturday,7
2023-01-07,TET,BKD1,AFC,1010.0,6.420305549999999,6.Saturday,7
2023-01-07,MOONCAKE,BKD1,THU,120.0,0.0001741976268921,6.Saturday,7
2023-01-07,TET,BKD1,HAMPER,2481.0,20.444349292554783,6.Saturday,7
2023-01-07,DRY,BKD1,SLIDE,29050.0,41.748354230090094,6.Saturday,7
2023-01-07,DRY,BKD1,RITZ,1398.0,1.151487244,6.Saturday,7
2023-01-07,DRY,BKD1,OREO,155484.0,110.30354377766304,6.Saturday,7
2023-01-07,DRY,BKD1,LU,3484.0,0.1275525724487304,6.Saturday,7
2023-01-07,DRY,BKD1,KINH DO BISCUIT,15620.0,45.15300462,6.Saturday,7
2023-01-07,DRY,BKD1,COSY,122328.0,178.0785492503163,6.Saturday,7
2023-01-07,DRY,BKD1,SOLITE,1154426.0,157.40474728091786,6.Saturday,7
2023-01-07,FRESH,BKD1,KINH DO CAKE,0.0,0.0,6.Saturday,7
2023-01-07,FRESH,BKD1,KINH DO BREAD,0.0,0.0,6.Saturday,7
2023-01-07,MOONCAKE,BKD1,TRANG VANG,0.0,0.0,6.Saturday,7
2023-01-08,DRY,BKD1,AFC,0.0,0.0,7.Sunday,8
2023-01-08,TET,BKD1,SOLITE,0.0,0.0,7.Sunday,8
2023-01-08,TET,BKD1,OREO,0.0,0.0,7.Sunday,8
2023-01-08,TET,BKD1,LU,0.0,0.0,7.Sunday,8
2023-01-08,TET,BKD1,KOKO,0.0,0.0,7.Sunday,8
2023-01-08,TET,BKD1,COSY,0.0,0.0,7.Sunday,8
2023-01-08,TET,BKD1,AFC,0.0,0.0,7.Sunday,8
2023-01-08,MOONCAKE,BKD1,THU,40.0,5.8065875630713696e-05,7.Sunday,8
2023-01-08,TET,BKD1,HAMPER,0.0,0.0,7.Sunday,8
2023-01-08,DRY,BKD1,SLIDE,1274.0,1.2222814012501022,7.Sunday,8
2023-01-08,DRY,BKD1,RITZ,0.0,0.0,7.Sunday,8
2023-01-08,DRY,BKD1,OREO,6728.0,10.391485125,7.Sunday,8
2023-01-08,DRY,BKD1,LU,0.0,0.0,7.Sunday,8
2023-01-08,DRY,BKD1,KINH DO BISCUIT,5400.0,13.590001800000003,7.Sunday,8
2023-01-08,DRY,BKD1,COSY,648.0,0.2815707546645333,7.Sunday,8
2023-01-08,DRY,BKD1,SOLITE,374400.0,1.6536001248,7.Sunday,8
2023-01-08,FRESH,BKD1,KINH DO CAKE,0.0,0.0,7.Sunday,8
2023-01-08,FRESH,BKD1,KINH DO BREAD,0.0,0.0,7.Sunday,8
2023-01-08,MOONCAKE,BKD1,TRANG VANG,0.0,0.0,7.Sunday,8
2023-01-09,DRY,BKD1,AFC,43358.0,76.3236201795,1.Monday,9
2023-01-09,TET,BKD1,SOLITE,8552.0,19.225751307654185,1.Monday,9
2023-01-09,TET,BKD1,OREO,416.0,3.7555436408027,1.Monday,9
2023-01-09,TET,BKD1,LU,8358.0,30.442999374,1.Monday,9
2023-01-09,TET,BKD1,KOKO,20.0,4.3317906716155214e-05,1.Monday,9
2023-01-09,TET,BKD1,COSY,4610.0,16.735361542583142,1.Monday,9
2023-01-09,TET,BKD1,AFC,926.0,4.64612336105,1.Monday,9
2023-01-09,MOONCAKE,BKD1,THU,120.0,0.0001741976268921,1.Monday,9
2023-01-09,TET,BKD1,HAMPER,1545.0,24.914985209966694,1.Monday,9
2023-01-09,DRY,BKD1,SLIDE,67032.0,77.246062334194,1.Monday,9
2023-01-09,DRY,BKD1,RITZ,6618.0,4.406760884,1.Monday,9
2023-01-09,DRY,BKD1,OREO,120648.0,118.6574161543263,1.Monday,9
