ACTUALSHIPDATE,CATEGORY,WHSEID,BRAND,Total QTY,Total CBM,Week,Day,CATEGORY_encoded,WHSEID_encoded,BRAND_encoded,Week_encoded
2023-01-02,TET,BKD1,SOLITE,-0.09114137805072144,0.5849761387806592,1.Monday,2,3,0,12,0
2023-01-02,MOONCAKE,BKD1,TRANG VANG,-0.3900089083672978,-0.5250681331876046,1.Monday,2,2,0,14,0
2023-01-02,FRESH,BKD1,KINH DO BREAD,-0.3900089083672978,-0.5250681331876046,1.Monday,2,1,0,5,0
2023-01-02,FRESH,BKD1,KINH DO CAKE,-0.3900089083672978,-0.5250681331876046,1.Monday,2,1,0,6,0
2023-01-02,DRY,BKD1,RITZ,-0.24185641080484122,-0.44213142822703,1.Monday,2,0,0,10,0
2023-01-02,DRY,BKD1,SLIDE,1.423696555065466,3.352092381684093,1.Monday,2,0,0,11,0
2023-01-02,DRY,BKD1,LU,-0.3843143857191572,-0.525058427076885,1.Monday,2,0,0,8,0
2023-01-02,MOONCAKE,BKD1,THU,-0.33268404704268295,-0.07113092222110741,1.Monday,2,2,0,13,0
2023-01-02,TET,BKD1,AFC,-0.3838398421651455,-0.4433539693832803,1.Monday,2,3,0,0,0
2023-01-02,TET,BKD1,COSY,0.03157558501670733,2.5770727691476445,1.Monday,2,3,0,2,0
2023-01-02,TET,BKD1,KOKO,-0.34350364007414996,-0.4150261386644126,1.Monday,2,3,0,7,0
2023-01-02,TET,BKD1,OREO,-0.3786198630710167,-0.3869030684740415,1.Monday,2,3,0,9,0
2023-01-02,TET,BKD1,HAMPER,-0.33164005122385715,0.07638959503956405,1.Monday,2,3,0,3,0
2023-01-03,DRY,BKD1,RITZ,-0.18756862822590134,-0.4656746593251149,2.Tuesday,3,0,0,10,1
2023-01-03,MOONCAKE,BKD1,TRANG VANG,-0.3900089083672978,-0.5250681331876046,2.Tuesday,3,2,0,14,1
2023-01-03,FRESH,BKD1,KINH DO BREAD,-0.3900089083672978,-0.5250681331876046,2.Tuesday,3,1,0,5,1
2023-01-03,FRESH,BKD1,KINH DO CAKE,-0.3900089083672978,-0.5250681331876046,2.Tuesday,3,1,0,6,1
2023-01-03,DRY,BKD1,KINH DO BISCUIT,0.2079159696874596,1.6414506606540438,2.Tuesday,3,0,0,4,1
2023-01-03,DRY,BKD1,LU,-0.3634344693426419,-0.5250228380042467,2.Tuesday,3,0,0,8,1
2023-01-03,DRY,BKD1,SLIDE,0.6238059404233242,1.0061744920265754,2.Tuesday,3,0,0,11,1
2023-01-03,TET,BKD1,COSY,-0.015214409408847485,2.0201769162865615,2.Tuesday,3,3,0,2,1
2023-01-03,MOONCAKE,BKD1,THU,-0.3660919132451075,-0.33567711139363554,2.Tuesday,3,2,0,13,1
2023-01-03,TET,BKD1,AFC,-0.3762471453009581,-0.4935994572010622,2.Tuesday,3,3,0,0,1
2023-01-03,TET,BKD1,KOKO,-0.35755012927289664,-0.43507598466178754,2.Tuesday,3,3,0,7,1
2023-01-03,TET,BKD1,OREO,-0.3209153669031925,-0.21310130830755236,2.Tuesday,3,3,0,9,1
2023-01-03,TET,BKD1,SOLITE,-0.3013641724779099,-0.33302969170965113,2.Tuesday,3,3,0,12,1
